latitude,longitude,date,method,collector
"35.62969828324389, 139.24611963341107",,4/25/2025,Looking em6/9,M.yamaguchi
"35.25692418844977, 139.74039243964077",,6/9/2025,Looking,M.yamaguchi
"24.477538153354185, 124.23073065065063",,10/15/2025,Looking,M.yamaguchi
"36.42921814979149, 138.41797667237086",,5/7/2025,Looking,M.yamaguchi
"36.42921814979149, 138.41797667237086",,5/10/2023,Looking,M.yamaguchi
"36.30075052275591, 138.76238073680415",,5/10/2023,Looking,M.yamaguchi
"35.85966576505269, 138.56990528469996",,5/13/2023,Looking,M.yamaguchi
"35.87618344836389, 138.57843383059884",,4/12/2024,Looking,M.yamaguchi
"35.678580002441805, 139.75390978426358",,5/30/2025,Looking,M.yamaguchi
"43.89158915225782, 142.45833211063322",,5/5/2024,Looking,M.yamaguchi
"35.64147570947369, 138.80963461057075",,8/28/2024,Looking,M.yamaguchi
"34.73127914013429, 139.3922700951225",,4/19/2025,Loioking,K.harada